genre,movieCount,idf
(no genres listed),18,2.704960368
Action,1545,0.771304389
Adventure,1117,0.9121797
Animation,447,1.30992535
Children,583,1.194564318
Comedy,3315,0.43974934
Crime,1100,0.918840188
Documentary,495,1.265627674
Drama,4365,0.320248625
Fantasy,654,1.144655125
Film-Noir,133,1.836381232
Horror,877,1.01723328
IMAX,153,1.775541442
Musical,394,1.364736651
Mystery,543,1.225433044
Romance,1545,0.771304389
Sci-Fi,792,1.061507692
Thriller,1729,0.72243788
War,367,1.395566809
Western,168,1.734923591
